Iridium, choker, Starlet, Tall, Slim, Diamond-Shaped Face, Olive Skin, Chestnut Hair, blue Eyes, Short Nose, Pouty Lips, Sharp Chin, Long Hair, Thick Hair, Straight Bob with Layers, augmented breasts, Threader earrings, red, velvet lipstick, Lavender Lace Bra and Panty Set 
Osmium, bracelet, Empress, Average Height, Athletic, Square Face, Tan Skin, Golden Blonde Hair, silver Eyes, Straight Nose, Thin Lips, Receding Chin, Long Hair, Curly Hair, Stacked Bob, asymmetrical breasts, Dangle earrings, cream, gloss lipstick, Black Cutout Bodysuit with Zipper
Tantalum, chain bracelet, Escort, Tall, Thin, Square Face, Olive Skin, White Hair, Gray Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Loose Curls, soft breasts, Huggie earrings, violet, metallic lipstick, Tan Faux Leather Slip Dress
Ruthenium, bangle bracelet, Mistress, Tall, Wide Hips, Heart-Shaped Face, Tan Skin, Silver Hair, coral Eyes, Straight Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Bob with Bangs, soft breasts, Threader earrings, plum, metallic lipstick, Ivory Lace Teddy
Ruthenium, bib necklace, Duchess, Short, Fit, Round Face, Olive Skin, Honey Blonde Hair, gold Eyes, Long Nose, Thin Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Long Straight Hair, round breasts, Stud earrings, hot pink, gloss lipstick, Mint Green Mesh Teddy 
Silver, ankle cuff, Countess, Average Height, Skinny, Diamond-Shaped Face, Dark Skin, Auburn Hair, teal Eyes, Short Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Fine Hair, Long Straight Hair, asymmetrical breasts, Drop earrings, plum, cream lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Silver, pearl necklace, Woman, Average Height, Wide Hips, Heart-Shaped Face, Fair Skin, Chestnut Hair, aquamarine Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Double Braided Crown, firm breasts, Faux gauge earrings, hot pink, gloss lipstick, Brown Strappy Bodysuit
Gold, beaded bracelet, Countess, Average Height, Skinny, Triangular Face, Tan Skin, Chestnut Hair, peach Eyes, [[Curved Nose]], Full Lips, Receding Chin, Long Hair, Fine Hair, Angled Bob, natural breasts, Drop earrings, orange, gloss lipstick, Maroon Satin and Lace Corset 
Palladium, tassel necklace, Charmer, Tall, Fit, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, purple Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Curly Afro, large breasts, Cuff earrings, red, sheer lipstick, Silver Sequin Bralette
Radium, animal brooch, Seductress, Average Height, Firm, Diamond-Shaped Face, Fair Skin, Black Hair, Gray Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Long Straight Hair, asymmetrical breasts, Hoop earrings, cream, stain lipstick, Pink Lace Garter Slip with Matching Thong
Iridium, brooch, Goddess, Short, Wide Hips, Diamond-Shaped Face, Olive Skin, Light Brown Hair, Brown Eyes with Green Flecks, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Tapered Afro, perky breasts, Threader earrings, black, gloss lipstick, Lavender Lace Bra and Panty Set 
Tantalum, toggle bracelet, Duchess, Tall, Skinny, Oval Face, Dark Skin, Light Brown Hair, turquoise Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Wavy Bob, perky breasts, Clip-on earrings, hot pink, sheer lipstick, Gold Strappy Bodysuit
Silver, anklet, Chanteuse, Short, Fit, Triangular Face, Tan Skin, Light Brown Hair, Amber Eyes, Long Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, High Messy Bun, round breasts, Hoop earrings, light pink, stain lipstick, Blue Satin and Lace Cami and Short Set
Germanium, statement necklace, Lady, Tall, Thin, Round Face, Tan Skin, Light Brown Hair, Brown Eyes with Green Flecks, Long Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, High Messy Bun, augmented breasts, Cuff earrings, beige, sheer lipstick, Turquoise Sheer Chemise with Cutouts
Ruthenium, ankle strap, Seductress, Average Height, Firm, Oval Face, Dark Skin, Red Hair, Gray Eyes, Long Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Lace Braid, perky breasts, Hoop earrings, magenta, cream lipstick, Olive Green Mesh Garter Belt with Stockings
Tantalum, brooch pin, Enchantress, Average Height, Skinny, Diamond-Shaped Face, Fair Skin, Honey Blonde Hair, grey Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Curly Hair, Tousled Waves, soft breasts, Clip-on earrings, peach, velvet lipstick, Mint Green Mesh Teddy 
Germanium, animal brooch, Superwoman, Tall, Fit, Round Face, Tan Skin, Chestnut Hair, Blue Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Straight Hair, Voluminous Waves, round breasts, Dangle earrings, peach, velvet lipstick, Pink Lace Garter Slip with Matching Thong
Radium, vintage brooch, Woman, Average Height, Narrow Hips, Square Face, Olive Skin, Dark Brown Hair, grey Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Curly Hair, Top Knot, augmented breasts, Hoop earrings, nude, velvet lipstick, Pink Lace Garter Slip with Matching Thong
Platinum, tassel necklace, Vixen, Average Height, Athletic, Diamond-Shaped Face, Tan Skin, Brunette Hair, hazel Eyes, Narrow Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Fringed Bangs, small breasts, Faux gauge earrings, terracotta, velvet lipstick, Red Satin Babydoll
Beryllium, flower brooch, Mistress, Short, Toned, Oval Face, Olive Skin, Strawberry Blonde Hair, brown Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Fishbone Braid, round breasts, Dangle earrings, berry, cream lipstick, Purple Velvet Robe with Fur Trim 
Platinum, chain necklace, Babe, Average Height, Thin, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, Sapphire Eyes, Wide Nose, Pouty Lips, Round Chin, Long Hair, Coarse Hair, High Ponytail, large breasts, Hoop earrings, shimmer, matte lipstick, Blue Strappy Bodysuit with Cutouts
Germanium, collar necklace, Temptress, Tall, in shape, Round Face, Olive Skin, Dark Brown Hair, Sapphire Eyes, Straight Nose, Full Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Donut Bun, full breasts, Huggie earrings, magenta, velvet lipstick, Lavender Lace Bra and Panty Set 
Palladium, necklace, Diva, Tall, Toned, Oval Face, Olive Skin, Dark Brown Hair, brown Eyes, Narrow Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Wavy Hair, Braided Headband, asymmetrical breasts, Faux gauge earrings, burgundy, satin lipstick, Grey Faux Leather Corset 
Tantalum, beaded necklace, Artist, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Platinum Blonde Hair, teal Eyes, Straight Nose, Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Braided Half Up, firm breasts, Faux gauge earrings, berry, sheer lipstick, Red Mesh Chemise with Strappy Back Detail
Tantalum, locket necklace, Enigma, Short, Slim, Square Face, Fair Skin, Platinum Blonde Hair, hazel Eyes, Narrow Nose, Full Lips, Sharp Chin, Long Hair, Straight Hair, Loose Waves, small breasts, Drop earrings, burgundy, cream lipstick, Ivory Lace Teddy
Germanium, cocktail ring, Enchantress, Average Height, Wide Hips, Square Face, Dark Skin, Platinum Blonde Hair, blue Eyes, Straight Nose, Thin Lips, Sharp Chin, Long Hair, Straight Hair, Braided Crown, asymmetrical breasts, Dangle earrings, rust, cream lipstick, Tan Faux Leather Slip Dress
Indium, toe ring, Miss, Tall, Slim, Triangular Face, Dark Skin, Light Brown Hair, silver Eyes, Straight Nose, Full Lips, Round Chin, Long Hair, Wavy Hair, Dutch Braid, round breasts, Huggie earrings, red, matte lipstick, Maroon Satin and Lace Corset 
Indium, watch bracelet, Charmer, Short, Firm, Triangular Face, Fair Skin, Blonde Hair, amber Eyes, Wide Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Loose Waves, saggy breasts, Dangle earrings, mauve, satin lipstick, Pink Floral Corset
Palladium, brooch pin, Starlet, Tall, Wide Hips, Oval Face, Tan Skin, Light Brown Hair, yellow Eyes, Straight Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Curly Hair, Curled Bob, augmented breasts, Faux gauge earrings, shimmer, gloss lipstick, Turquoise Sheer Chemise with Cutouts
Platinum, tennis necklace, Temptress, Average Height, Narrow Hips, Square Face, Dark Skin, Strawberry Blonde Hair, green Eyes, [[Curved Nose]], Pouty Lips, Receding Chin, Long Hair, Straight Hair, French Twist, soft breasts, Drop earrings, berry, satin lipstick, Maroon Satin and Lace Corset 
Ruthenium, watch bracelet, Sensation, Average Height, Toned, Square Face, Olive Skin, Blonde Hair, silver Eyes, Straight Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Waterfall Braid, saggy breasts, Drop earrings, coral, sheer lipstick, Mint Green Mesh Teddy 
Tantalum, animal brooch, Sensation, Average Height, Fit, Triangular Face, Olive Skin, Chestnut Hair, Sapphire Eyes, Wide Nose, Pouty Lips, Receding Chin, Long Hair, Straight Hair, Formal Braided Updo, full breasts, Threader earrings, light pink, sheer lipstick, Green Silk Bralette and Panty Set
Silver, bracelet, Sensation, Average Height, Thin, Triangular Face, Fair Skin, Gray Hair, black Eyes, Wide Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Angled Bob, natural breasts, Clip-on earrings, brown, gloss lipstick, Green Silk Bralette and Panty Set
Osmium, beaded necklace, Visionary, Tall, Narrow Hips, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, amber Eyes, Short Nose, Full Lips, Round Chin, Shoulder-Length Hair, Straight Hair, Dutch Braid, firm breasts, Cuff earrings, berry, matte lipstick, Gold Strappy Bodysuit
Radium, bib necklace, Chanteuse, Short, Wide Hips, Triangular Face, Dark Skin, Honey Blonde Hair, grey Eyes, Wide Nose, Pouty Lips, Prominent Chin, Long Hair, Fine Hair, Voluminous Waves, soft breasts, Dangle earrings, pink, sheer lipstick, Navy Blue Satin Garter Belt with Suspenders 
Iridium, beaded bracelet, Enchantress, Tall, Firm, Square Face, Olive Skin, Light Brown Hair, dark brown Eyes, Short Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, Long Straight Hair, augmented breasts, Huggie earrings, orange, stain lipstick, Red Lace Bra and Panty Set with Garter Belt
Rhenium, necklace, Luminary, Tall, Firm, Round Face, Fair Skin, Brunette Hair, brown Eyes, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Wavy Hair, Fancy Updo, firm breasts, Dangle earrings, burgundy, cream lipstick, Black Lace Bustier
Gallium, anklet, Queen, Average Height, Slim, Round Face, Fair Skin, Light Brown Hair, red Eyes, Straight Nose, Pouty Lips, Round Chin, Long Hair, Thick Hair, Straight Updo, round breasts, Drop earrings, teal, velvet lipstick, Green Sequin Slip Dress with Thigh-High Slits
Osmium, pearl necklace, Babe, Short, Thin, Square Face, Tan Skin, Gray Hair, blue Eyes, Short Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Messy Top Knot, augmented breasts, Faux gauge earrings, rose, gloss lipstick, Black Sheer Teddy with Floral Applique
Osmium, cocktail brooch, Artist, Short, Athletic, Round Face, Dark Skin, Dark Brown Hair, pink Eyes, Narrow Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Wavy Bob, small breasts, Stud earrings, mauve, velvet lipstick, Black Mesh Bodysuit with Embroidered Flowers
Silver, toggle bracelet, Baroness, Tall, Wide Hips, Round Face, Tan Skin, Chestnut Hair, pink Eyes, Long Nose, Full Lips, Round Chin, Long Hair, Coarse Hair, Low Chignon, firm breasts, Hoop earrings, plum, velvet lipstick, Black Lace Bustier
Palladium, anklet, Superwoman, Tall, in shape, Triangular Face, Olive Skin, Honey Blonde Hair, turquoise Eyes, Wide Nose, Thick Lips, Sharp Chin, Long Hair, Fine Hair, Braided Crown, large breasts, Faux gauge earrings, terracotta, matte lipstick, Green Satin and Lace Garter Belt with Matching Thong
Gallium, bracelet, Starlet, Average Height, Slim, Triangular Face, Fair Skin, Brunette Hair, peach Eyes, Short Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Chignon, firm breasts, Dangle earrings, plum, cream lipstick, Purple Velvet Robe with Fur Trim 
Silver, charm bracelet, Trailblazer, Average Height, Thin, Square Face, Fair Skin, Platinum Blonde Hair, Green Eyes, Wide Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Afro, round breasts, Drop earrings, hot pink, matte lipstick, Plum Satin and Lace Bustier 
Osmium, friendship bracelet, Sensation, Average Height, Toned, Round Face, Fair Skin, Honey Blonde Hair, coral Eyes, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, Half Up Half Down, small breasts, Cuff earrings, burgundy, satin lipstick, Fuchsia Mesh Halter Bra and Panty Set
Palladium, pendant, Goddess, Average Height, Thin, Round Face, Tan Skin, Light Brown Hair, light blue Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, Fancy Updo, full breasts, Dangle earrings, pink, matte lipstick, Green Satin and Lace Garter Belt with Matching Thong
Gallium, chain bracelet, Lady, Average Height, Lean, Heart-Shaped Face, Dark Skin, Dark Brown Hair, Hazel Eyes with Green Flecks, Wide Nose, Thick Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Long Curly Hair, saggy breasts, Dangle earrings, fuchsia, satin lipstick, Navy Blue Satin Garter Belt with Suspenders 
Germanium, vintage brooch, Baroness, Average Height, Lean, Diamond-Shaped Face, Olive Skin, Auburn Hair, peach Eyes, Narrow Nose, Full Lips, Receding Chin, Shoulder-Length Hair, Curly Hair, Wedding Updo, saggy breasts, Dangle earrings, orange, gloss lipstick, Orange Satin Slip
Gallium, brooch, Belle, Short, Slim, Heart-Shaped Face, Dark Skin, Brunette Hair, aquamarine Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Wavy Hair, Curled Bob, firm breasts, Cuff earrings, magenta, sheer lipstick, Pink Lace Chemise with Ruffle Details
Radium, choker, Heiress, Short, Toned, Round Face, Dark Skin, Honey Blonde Hair, Brown Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Long Hair, Thick Hair, Wavy Layered Bob, asymmetrical breasts, Dangle earrings, coral, gloss lipstick, Orange Satin Slip
Radium, friendship bracelet, Madame, Average Height, Toned, Heart-Shaped Face, Dark Skin, Gray Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Sharp Chin, Long Hair, Coarse Hair, Curly Afro, round breasts, Hoop earrings, brown, stain lipstick, Purple Mesh Babydoll with Matching G-String
Ruthenium, bracelet, Woman, Short, Toned, Square Face, Dark Skin, Honey Blonde Hair, gold Eyes, Straight Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Afro, soft breasts, Drop earrings, black, matte lipstick, Pink Lace Garter Slip with Matching Thong
Rhodium, flower brooch, Gal, Short, Toned, Triangular Face, Olive Skin, Light Brown Hair, peach Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Boho Braid, natural breasts, Clip-on earrings, pink, sheer lipstick, Yellow Lace Halter Bralette and Thong Set
Beryllium, flower brooch, Vixen, Average Height, Toned, Heart-Shaped Face, Fair Skin, Dark Brown Hair, gold Eyes, Short Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Coarse Hair, Tapered Afro, asymmetrical breasts, Hoop earrings, golden, velvet lipstick, Black Leather Bralette and Panty Set
Silver, choker, Trailblazer, Tall, Narrow Hips, Triangular Face, Olive Skin, Red Hair, red Eyes, Short Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Frohawk, natural breasts, Drop earrings, rose, gloss lipstick, Green Satin Robe with Lace Trim
Gold, flower brooch, Vixen, Short, Skinny, Oval Face, Fair Skin, Brunette Hair, turquoise Eyes, Long Nose, Full Lips, Sharp Chin, Shoulder-Length Hair, Coarse Hair, French Roll, soft breasts, Threader earrings, nude, sheer lipstick, White Sheer Teddy with Lace Trim
Gold, cocktail ring, Lady, Short, Firm, Heart-Shaped Face, Dark Skin, Golden Blonde Hair, yellow Eyes, Short Nose, Pouty Lips, Prominent Chin, Shoulder-Length Hair, Straight Hair, Braided Updo, augmented breasts, Stud earrings, lavender, matte lipstick, Black Mesh Bodysuit with Embroidered Flowers
Silver, locket necklace, Siren, Tall, Wide Hips, Oval Face, Olive Skin, Honey Blonde Hair, grey Eyes, Long Nose, Full Lips, Receding Chin, Long Hair, Straight Hair, Curled Bob, round breasts, Huggie earrings, rust, satin lipstick, Blue Sheer Babydoll with Satin Trim
Platinum, watch bracelet, Temptress, Short, Narrow Hips, Heart-Shaped Face, Olive Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, [[Curved Nose]], Full Lips, Prominent Chin, Long Hair, Coarse Hair, Bun, saggy breasts, Dangle earrings, nude, satin lipstick, Black Sheer Teddy with Floral Applique
Beryllium, beaded bracelet, Miss, Tall, Lean, Heart-Shaped Face, Olive Skin, Chestnut Hair, green Eyes, Straight Nose, Thick Lips, Round Chin, Long Hair, Fine Hair, Messy Beach Waves, firm breasts, Hoop earrings, hot pink, matte lipstick, Red Lace Bra and Panty Set with Garter Belt
Tantalum, tennis bracelet, Escort, Tall, Toned, Triangular Face, Tan Skin, Silver Hair, light blue Eyes, Long Nose, Pouty Lips, Prominent Chin, Long Hair, Curly Hair, High Messy Bun, full breasts, Hoop earrings, black, cream lipstick, Teal Velvet Chemise with Ruffles 
Ruthenium, tassel necklace, Superwoman, Tall, Wide Hips, Diamond-Shaped Face, Dark Skin, Light Brown Hair, Gray Eyes, Wide Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Rope Braid, perky breasts, Cuff earrings, plum, sheer lipstick, Cream Sequin Bra and Pant Set
Ruthenium, watch bracelet, Vixen, Average Height, Athletic, Oval Face, Olive Skin, Strawberry Blonde Hair, Brown Eyes with Green Flecks, Narrow Nose, Pouty Lips, Round Chin, Long Hair, Curly Hair, Straight Bob, saggy breasts, Huggie earrings, hot pink, gloss lipstick, Purple Velvet Slip with Lace Trim
Gold, brooch pin, Artist, Tall, Thin, Oval Face, Fair Skin, Brunette Hair, Amber Eyes, [[Curved Nose]], Thick Lips, Prominent Chin, Shoulder-Length Hair, Thick Hair, Low Ponytail, full breasts, Cuff earrings, magenta, sheer lipstick, Navy Blue Satin Garter Belt with Suspenders 
Beryllium, choker, Temptress, Short, Slim, Round Face, Olive Skin, Chestnut Hair, pink Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Thick Hair, High Ponytail, firm breasts, Huggie earrings, magenta, sheer lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Rhodium, beaded bracelet, Female Viking, Tall, Athletic, Round Face, Dark Skin, Platinum Blonde Hair, Gray Eyes, Long Nose, Thin Lips, Prominent Chin, Shoulder-Length Hair, Fine Hair, Formal Braided Updo, large breasts, Cuff earrings, gloss, metallic lipstick, Black Sheer Teddy with Floral Applique
Radium, slave bracelet, Queen, Average Height, Athletic, Heart-Shaped Face, Fair Skin, Blonde Hair, gold Eyes, Narrow Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, French Braid, perky breasts, Stud earrings, lavender, sheer lipstick, Red Mesh Chemise with Strappy Back Detail
Radium, friendship bracelet, Gal, Average Height, Lean, Heart-Shaped Face, Dark Skin, Light Brown Hair, yellow Eyes, Long Nose, Full Lips, Round Chin, Shoulder-Length Hair, Curly Hair, Straight Bob with Layers, large breasts, Stud earrings, violet, satin lipstick, Ivory Lace Teddy
Ruthenium, anklet, Trailblazer, Tall, Slim, Square Face, Fair Skin, Blonde Hair, blue Eyes, Straight Nose, Pouty Lips, Prominent Chin, Long Hair, Wavy Hair, Loose Curls, saggy breasts, Cuff earrings, shimmer, sheer lipstick, Purple Velvet Slip with Lace Trim
Beryllium, choker, Madame, Short, Narrow Hips, Oval Face, Fair Skin, Golden Blonde Hair, blue Eyes, Short Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Wavy Updo, full breasts, Hoop earrings, rose, satin lipstick, Black Mesh Bodysuit with Embroidered Flowers
Silver, bracelet, Artist, Short, Skinny, Diamond-Shaped Face, Fair Skin, Gray Hair, jade Eyes, Wide Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Thick Hair, Boho Braid, natural breasts, Huggie earrings, light pink, gloss lipstick, Purple Mesh Babydoll with Matching G-String
Silver, tassel necklace, Heiress, Short, Toned, Round Face, Dark Skin, Chestnut Hair, amber Eyes, Short Nose, Pouty Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Wavy Bob, soft breasts, Dangle earrings, rose, stain lipstick, Olive Green Mesh Garter Belt with Stockings
Silver, necklace, Heiress, Average Height, Slim, Round Face, Tan Skin, Red Hair, jade Eyes, [[Curved Nose]], Full Lips, Sharp Chin, Shoulder-Length Hair, Thick Hair, Long Wavy Hair, augmented breasts, Clip-on earrings, golden, metallic lipstick, Black Leather Bralette and Panty Set
Osmium, flower brooch, Femme fatale, Short, Wide Hips, Round Face, Olive Skin, Black Hair, Sapphire Eyes, Straight Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Straight Hair, Bangs with Highlights, augmented breasts, Stud earrings, coral, gloss lipstick, Turquoise Sheer Chemise with Cutouts
Silver, multi-strand necklace, Visionary, Tall, Skinny, Triangular Face, Fair Skin, Dark Brown Hair, amber Eyes, Narrow Nose, Thick Lips, Receding Chin, Long Hair, Fine Hair, Dutch Braid, perky breasts, Clip-on earrings, plum, sheer lipstick, Black Mesh Bodysuit with Embroidered Flowers
Silver, toe ring, Dame, Tall, Slim, Round Face, Fair Skin, Golden Blonde Hair, blue Eyes, Straight Nose, Full Lips, Receding Chin, Long Hair, Fine Hair, Blunt Bangs, natural breasts, Cuff earrings, fuchsia, stain lipstick, Purple Velvet Slip with Lace Trim
Iridium, pearl necklace, Countess, Tall, Athletic, Heart-Shaped Face, Fair Skin, Strawberry Blonde Hair, purple Eyes, Narrow Nose, Thin Lips, Prominent Chin, Long Hair, Straight Hair, Fluffy Afro, asymmetrical breasts, Faux gauge earrings, terracotta, sheer lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Germanium, beaded necklace, Chanteuse, Tall, Lean, Heart-Shaped Face, Fair Skin, Gray Hair, light blue Eyes, Straight Nose, Full Lips, Prominent Chin, Long Hair, Coarse Hair, Fishtail Braid, firm breasts, Stud earrings, hot pink, satin lipstick, Red Satin Kimono with Lace Sleeve Detail
Rhodium, ankle cuff, Femme fatale, Average Height, Slim, Heart-Shaped Face, Dark Skin, Dark Brown Hair, peach Eyes, Narrow Nose, Pouty Lips, Sharp Chin, Long Hair, Fine Hair, Curled Bob, perky breasts, Drop earrings, gloss, sheer lipstick, Orange Satin Slip
Rhodium, watch bracelet, Baroness, Tall, Skinny, Oval Face, Fair Skin, Honey Blonde Hair, pink Eyes, Narrow Nose, Thin Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Afro, perky breasts, Dangle earrings, red, sheer lipstick, White Lace Bralette and Boyshorts Set
Ruthenium, vintage brooch, Temptress, Tall, Fit, Heart-Shaped Face, Tan Skin, Black Hair, pink Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Fine Hair, Formal Updo, natural breasts, Cuff earrings, lavender, stain lipstick, Purple Velvet Bra and Panty Set with Lace Trim
Rhenium, bangle bracelet, Temptress, Tall, Slim, Round Face, Fair Skin, Gray Hair, jade Eyes, Short Nose, Thin Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Beach Waves, firm breasts, Dangle earrings, lavender, sheer lipstick, Gold Mesh Bra and Panty Set with Garter Belt
Gold, ankle bracelet, Woman, Tall, Toned, Round Face, Olive Skin, Gray Hair, Brown Eyes, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Straight Hair, Fishbone Braid, saggy breasts, Dangle earrings, shimmer, metallic lipstick, Olive Green Mesh Garter Belt with Stockings
Germanium, chain bracelet, Chanteuse, Tall, Firm, Heart-Shaped Face, Dark Skin, Gray Hair, black Eyes, Long Nose, Thick Lips, Sharp Chin, Shoulder-Length Hair, Curly Hair, Swept Bangs, large breasts, Cuff earrings, nude, velvet lipstick, Green Silk Bralette and Panty Set
Ruthenium, slave bracelet, Female Viking, Tall, Athletic, Diamond-Shaped Face, Dark Skin, Gray Hair, red Eyes, Straight Nose, Thin Lips, Round Chin, Long Hair, Fine Hair, Loose Curls, perky breasts, Cuff earrings, black, stain lipstick, White Sheer Teddy with Lace Trim
Silver, friendship bracelet, Woman, Short, Lean, Oval Face, Olive Skin, Auburn Hair, coral Eyes, Narrow Nose, Full Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Frohawk, small breasts, Hoop earrings, lavender, metallic lipstick, Black Leather Bralette and Panty Set
Germanium, ankle strap, Woman, Short, Toned, Square Face, Fair Skin, Black Hair, gold Eyes, Wide Nose, Pouty Lips, Round Chin, Shoulder-Length Hair, Wavy Hair, Layered Bob, round breasts, Clip-on earrings, golden, metallic lipstick, Purple Mesh Babydoll with Matching G-String
Rhodium, tennis necklace, Madame, Tall, Toned, Heart-Shaped Face, Olive Skin, Gray Hair, ice blue Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Thick Hair, Twisted Bun, asymmetrical breasts, Clip-on earrings, terracotta, satin lipstick, Mint Green Mesh Teddy 
Rhenium, animal brooch, Songstress, Short, Slim, Triangular Face, Olive Skin, Gray Hair, green Eyes, Straight Nose, Full Lips, Sharp Chin, Long Hair, Coarse Hair, Side French Braid, natural breasts, Faux gauge earrings, teal, stain lipstick, Black Sheer Teddy with Floral Applique
Rhenium, locket necklace, Belle, Short, Wide Hips, Diamond-Shaped Face, Tan Skin, Dark Brown Hair, Brown Eyes with Green Flecks, Straight Nose, Pouty Lips, Receding Chin, Shoulder-Length Hair, Wavy Hair, Shaggy Cut, asymmetrical breasts, Hoop earrings, peach, satin lipstick, Yellow Mesh Bralette and High-Waisted Panty Set
Osmium, bib necklace, Dame, Tall, Skinny, Oval Face, Olive Skin, Silver Hair, amber Eyes, Short Nose, Full Lips, Sharp Chin, Long Hair, Fine Hair, Boho Braid, soft breasts, Threader earrings, coral, satin lipstick, Green Sequin Slip Dress with Thigh-High Slits
Gallium, bangle bracelet, Woman, Average Height, Athletic, Heart-Shaped Face, Tan Skin, Blonde Hair, green Eyes, Long Nose, Thick Lips, Prominent Chin, Shoulder-Length Hair, Wavy Hair, Smooth Waves, asymmetrical breasts, Hoop earrings, berry, satin lipstick, Pink Floral Corset
Platinum, animal brooch, Mistress, Average Height, in shape, Diamond-Shaped Face, Olive Skin, Strawberry Blonde Hair, aquamarine Eyes, Narrow Nose, Full Lips, Receding Chin, Long Hair, Wavy Hair, Braided Updo, small breasts, Dangle earrings, beige, metallic lipstick, Black Leather Bralette and Panty Set
Rhodium, necklace, Siren, Tall, Thin, Heart-Shaped Face, Dark Skin, Honey Blonde Hair, Blue Eyes with Green Flecks, Narrow Nose, Pouty Lips, Prominent Chin, Long Hair, Straight Hair, Sock Bun, asymmetrical breasts, Stud earrings, rose, gloss lipstick, Grey Faux Leather Corset 
Palladium, choker, Temptress, Average Height, in shape, Square Face, Fair Skin, Black Hair, green Eyes, Straight Nose, Thick Lips, Round Chin, Shoulder-Length Hair, Coarse Hair, Swept Bangs, round breasts, Threader earrings, black, metallic lipstick, Grey Faux Leather Corset 
